epoch	iou_threshold	score_threshold	tp	fp	fn	precision	recall
1	0.5	0.5	13	98	2287	0.11711711711711711	0.005652173913043478
2	0.5	0.5	1205	1294	1095	0.48219287715086034	0.5239130434782608
3	0.5	0.5	1182	3710	1118	0.24161896974652494	0.5139130434782608
4	0.5	0.5	1750	2539	550	0.40802051760317093	0.7608695652173914
5	0.5	0.5	1749	2961	551	0.37133757961783437	0.7604347826086957
6	0.5	0.5	1734	4135	566	0.29545067302777306	0.7539130434782608
7	0.5	0.5	1938	2219	362	0.46620158768342557	0.8426086956521739
8	0.5	0.5	1545	6460	755	0.1930043722673329	0.6717391304347826
9	0.5	0.5	1909	1470	391	0.5649600473512874	0.83
10	0.5	0.5	1927	2331	373	0.45255988727101926	0.8378260869565217
11	0.5	0.5	1945	1965	355	0.49744245524296676	0.8456521739130435
12	0.5	0.5	1893	2540	407	0.4270245883149109	0.8230434782608695
13	0.5	0.5	1935	2588	365	0.427813398187044	0.841304347826087
14	0.5	0.5	1967	1660	333	0.5423214778053488	0.8552173913043478
15	0.5	0.5	2004	1467	296	0.5773552290406223	0.871304347826087
16	0.5	0.5	1686	3175	614	0.3468422135363094	0.7330434782608696
17	0.5	0.5	1926	1809	374	0.5156626506024097	0.837391304347826
18	0.5	0.5	1945	1558	355	0.5552383671139024	0.8456521739130435
19	0.5	0.5	1839	2998	461	0.38019433533181723	0.7995652173913044
20	0.5	0.5	2004	1496	296	0.5725714285714286	0.871304347826087
21	0.5	0.5	2012	1650	288	0.5494265428727472	0.8747826086956522
22	0.5	0.5	1945	2718	355	0.41711344627921937	0.8456521739130435
23	0.5	0.5	1835	3095	465	0.372210953346856	0.7978260869565217
24	0.5	0.5	1986	2146	314	0.48063891577928364	0.8634782608695653
25	0.5	0.5	1959	2177	341	0.47364603481624756	0.8517391304347826
26	0.5	0.5	1979	1547	321	0.5612592172433353	0.8604347826086957
27	0.5	0.5	1837	2823	463	0.394206008583691	0.798695652173913
28	0.5	0.5	1982	1606	318	0.552396878483835	0.8617391304347826
29	0.5	0.5	1992	1911	308	0.5103766333589547	0.8660869565217392
30	0.5	0.5	2006	1831	294	0.5228042741725306	0.8721739130434782
31	0.5	0.5	2008	1785	292	0.5293962562615344	0.8730434782608696
32	0.5	0.5	2036	2244	264	0.47570093457943924	0.8852173913043478
33	0.5	0.5	2062	1771	238	0.537959822593269	0.8965217391304348
34	0.5	0.5	1960	2380	340	0.45161290322580644	0.8521739130434782
35	0.5	0.5	2026	2191	274	0.4804363291439412	0.8808695652173913
36	0.5	0.5	2079	1999	221	0.5098087297694949	0.9039130434782608
37	0.5	0.5	1999	1944	301	0.5069743849860512	0.8691304347826087
38	0.5	0.5	2002	1409	298	0.5869246555262386	0.8704347826086957
39	0.5	0.5	1966	2145	334	0.478229141328144	0.8547826086956521
40	0.5	0.5	1977	1843	323	0.5175392670157068	0.8595652173913043
41	0.5	0.5	2085	1482	215	0.584524810765349	0.9065217391304348
42	0.5	0.5	1970	1665	330	0.5419532324621733	0.8565217391304348
43	0.5	0.5	1969	1364	331	0.5907590759075908	0.8560869565217392
44	0.5	0.5	2049	1626	251	0.5575510204081633	0.8908695652173914
