epoch	threshold	tp	fp	fn	precision	recall
1	0.5	118060	2177952	4211257	0.05141959188366611	0.027269890377627694
2	0.5	3431310	1985398	898007	0.6334677815381593	0.7925753646591368
3	0.5	4059528	4760729	269789	0.4602505346499541	0.9376832419524835
4	0.5	4052123	2312699	277194	0.6366435699223011	0.9359728104918166
5	0.5	4091581	2430864	237736	0.6273078577128669	0.9450869502048476
6	0.5	4101418	2705080	227899	0.6025738933589637	0.9473591330918941
7	0.5	4010484	1494481	318833	0.728521253086986	0.9263548961649147
8	0.5	4219374	4129560	109943	0.5053787705113012	0.974605001204578
9	0.5	3825205	929188	504112	0.8045622227695522	0.8835585382174602
10	0.5	4002910	1470616	326407	0.7313220034032907	0.924605428523714
11	0.5	3994545	1361496	334772	0.7458017965135069	0.9226732530789499
12	0.5	4088548	1841509	240769	0.6894618382251638	0.9443863778050903
13	0.5	4111342	1754080	217975	0.700945643808749	0.9496514115274997
14	0.5	4065600	1457746	263717	0.7360755599956983	0.9390857726518986
15	0.5	3969070	1003718	360247	0.7981578945251637	0.9167889530842855
16	0.5	4169962	2749898	159355	0.6026078562283051	0.9631916535564385
17	0.5	4066447	1460246	262870	0.7357830442183056	0.9392814155212011
18	0.5	4055506	1346224	273811	0.7507791022505753	0.9367542270524427
19	0.5	4177817	2332406	151500	0.6417317809236335	0.965006027509651
20	0.5	4024556	1119967	304761	0.782299155820666	0.9296052933984738
21	0.5	3997092	1090048	332225	0.7857247883879744	0.9232615675867579
22	0.5	4166068	1873632	163249	0.6897806182426279	0.9622922045209441
23	0.5	4201983	2443118	127334	0.6323429847040699	0.9705879703426661
24	0.5	4126448	1533854	202869	0.7290155189599424	0.9531406455105967
25	0.5	4134270	1691999	195047	0.7095913353811848	0.9549473970143558
26	0.5	4111582	1404158	217735	0.745427086846008	0.949706847523524
27	0.5	4192066	2312475	137251	0.6444829850407584	0.968297308790278
28	0.5	4040037	1137045	289280	0.7803695208999973	0.9331811461253589
29	0.5	4098338	1391186	230979	0.7465743842271206	0.9466477044762488
30	0.5	4112155	1388129	217162	0.7476259407696039	0.949839200964032
31	0.5	4056219	1185503	273098	0.7738332937153096	0.9369189181572982
32	0.5	4143793	1552135	185524	0.7275009445344113	0.9571470511399374
33	0.5	3997347	1002225	331970	0.7995378404391416	0.9233204683325338
34	0.5	4133002	1639430	196315	0.7159897249547504	0.9546545101686941
35	0.5	4103897	1353011	225420	0.7520553764146289	0.947931740734162
36	0.5	4020286	1038992	309031	0.7946363097659389	0.9286189946358744
37	0.5	4160888	1517774	168429	0.7327233070043613	0.961095710940086
38	0.5	4084862	1131049	244455	0.7831540837257385	0.9435349732994835
39	0.5	4177795	1713578	151522	0.7091377510811147	0.9650009458766822
40	0.5	4008070	1167173	321247	0.774469913779894	0.9257973024382368
41	0.5	4042146	998690	287171	0.8018800849700327	0.9336682899404225
42	0.5	4095158	1315975	234159	0.7568023184793277	0.9459131775289266
43	0.5	4112534	1289018	216783	0.7613615494213515	0.9499267436410871
44	0.5	4079290	1080501	250027	0.7905920995637227	0.9422479342584523
45	0.5	4104382	1366018	224935	0.750289192746417	0.9480437676427944
46	0.5	4103941	1201574	225376	0.7735235881907788	0.9479419040000998
47	0.5	4007112	937604	322205	0.8103826387602443	0.925576020420773
48	0.5	4151919	1641262	177398	0.7166907093011594	0.959024021571994
49	0.5	4180993	1799474	148324	0.699108113128958	0.9657396305237061
