epoch	iou_threshold	score_threshold	tp	fp	fn	precision	recall
70	0.5	0.5	1990	455	310	0.8139059304703476	0.8652173913043478
71	0.5	0.5	1980	571	320	0.7761662093296746	0.8608695652173913
72	0.5	0.5	1989	1326	311	0.6	0.8647826086956522
73	0.5	0.5	1978	642	322	0.7549618320610687	0.86
74	0.5	0.5	2004	367	296	0.8452129902994517	0.871304347826087
75	0.5	0.5	2084	495	216	0.8080651415277239	0.9060869565217391
76	0.5	0.5	1895	374	405	0.8351696782723667	0.8239130434782609
77	0.5	0.5	2095	779	205	0.7289491997216423	0.9108695652173913
78	0.5	0.5	1952	430	348	0.8194794290512175	0.8486956521739131
79	0.5	0.5	2139	521	161	0.8041353383458647	0.93
80	0.5	0.5	2006	589	294	0.7730250481695569	0.8721739130434782
81	0.5	0.5	2060	465	240	0.8158415841584158	0.8956521739130435
82	0.5	0.5	1821	4697	479	0.27938017796870207	0.7917391304347826
83	0.5	0.5	2039	476	261	0.8107355864811133	0.8865217391304347
84	0.5	0.5	2159	750	141	0.7421794431075971	0.938695652173913
85	0.5	0.5	2093	624	207	0.7703349282296651	0.91
86	0.5	0.5	2022	371	278	0.8449644797325533	0.8791304347826087
87	0.5	0.5	2060	415	240	0.8323232323232324	0.8956521739130435
88	0.5	0.5	2064	759	236	0.7311370882040382	0.8973913043478261
89	0.5	0.5	2090	474	210	0.8151326053042122	0.908695652173913
90	0.5	0.5	2038	500	262	0.8029944838455477	0.8860869565217391
91	0.5	0.5	2024	453	276	0.8171174808235769	0.88
92	0.5	0.5	2111	465	189	0.8194875776397516	0.9178260869565218
93	0.5	0.5	1949	383	351	0.8357632933104632	0.8473913043478261
94	0.5	0.5	2122	668	178	0.760573476702509	0.922608695652174
95	0.5	0.5	2073	376	227	0.8464679461004492	0.9013043478260869
96	0.5	0.5	2137	461	163	0.8225558121632025	0.9291304347826087
97	0.5	0.5	2076	620	224	0.7700296735905044	0.9026086956521739
98	0.5	0.5	2114	423	186	0.8332676389436342	0.9191304347826087
99	0.5	0.5	2107	452	193	0.82336850332161	0.9160869565217391
100	0.5	0.5	1982	360	318	0.8462852263023057	0.8617391304347826
101	0.5	0.5	1957	383	343	0.8363247863247864	0.8508695652173913
102	0.5	0.5	2045	383	255	0.8422570016474464	0.8891304347826087
103	0.5	0.5	2118	619	182	0.773839970770917	0.9208695652173913
104	0.5	0.5	2059	391	241	0.8404081632653061	0.8952173913043479
105	0.5	0.5	2061	389	239	0.8412244897959184	0.8960869565217391
106	0.5	0.5	2072	381	228	0.8446799836934366	0.9008695652173913
107	0.5	0.5	1980	398	320	0.832632464255677	0.8608695652173913
108	0.5	0.5	1974	387	326	0.8360864040660737	0.8582608695652174
109	0.5	0.5	2077	411	223	0.8348070739549839	0.9030434782608696
110	0.5	0.5	2030	498	270	0.803006329113924	0.8826086956521739
111	0.5	0.5	2032	445	268	0.8203471941865159	0.8834782608695653
112	0.5	0.5	2115	398	185	0.8416235575009948	0.9195652173913044
113	0.5	0.5	2081	475	219	0.8141627543035994	0.9047826086956522
114	0.5	0.5	2048	413	252	0.8321820398212109	0.8904347826086957
115	0.5	0.5	2085	394	215	0.8410649455425575	0.9065217391304348
116	0.5	0.5	2138	452	162	0.8254826254826255	0.9295652173913044
117	0.5	0.5	2142	505	158	0.8092179826218361	0.931304347826087
118	0.5	0.5	2107	501	193	0.807898773006135	0.9160869565217391
119	0.5	0.5	2067	523	233	0.7980694980694981	0.898695652173913
120	0.5	0.5	2155	439	145	0.830763299922899	0.9369565217391305
121	0.5	0.5	2092	414	208	0.8347964884277733	0.9095652173913044
122	0.5	0.5	2114	500	186	0.8087222647283856	0.9191304347826087
123	0.5	0.5	2186	898	114	0.7088197146562906	0.9504347826086956
124	0.5	0.5	2084	398	216	0.8396454472199839	0.9060869565217391
125	0.5	0.5	2127	561	173	0.7912946428571429	0.9247826086956522
126	0.5	0.5	2090	364	210	0.8516707416462918	0.908695652173913
127	0.5	0.5	2072	397	228	0.8392061563385986	0.9008695652173913
128	0.5	0.5	2082	399	218	0.8391777509068924	0.9052173913043479
129	0.5	0.5	2122	822	178	0.7207880434782609	0.922608695652174
130	0.5	0.5	2012	399	288	0.8345085026959768	0.8747826086956522
131	0.5	0.5	2146	579	154	0.7875229357798165	0.9330434782608695
132	0.5	0.5	2026	339	274	0.8566596194503171	0.8808695652173913
133	0.5	0.5	2071	459	229	0.8185770750988143	0.9004347826086957
134	0.5	0.5	2109	404	191	0.8392359729407083	0.9169565217391304
135	0.5	0.5	2118	483	182	0.8143021914648212	0.9208695652173913
136	0.5	0.5	2128	412	172	0.8377952755905512	0.9252173913043479
137	0.5	0.5	2061	377	239	0.8453650533223954	0.8960869565217391
138	0.5	0.5	2121	360	179	0.8548972188633616	0.9221739130434783
139	0.5	0.5	2168	999	132	0.684559520050521	0.9426086956521739
140	0.5	0.5	2113	388	187	0.8448620551779288	0.918695652173913
141	0.5	0.5	2159	461	141	0.8240458015267176	0.938695652173913
142	0.5	0.5	2152	452	148	0.82642089093702	0.9356521739130435
143	0.5	0.5	2034	357	266	0.8506900878293601	0.8843478260869565
144	0.5	0.5	1957	344	343	0.8504997827031725	0.8508695652173913
145	0.5	0.5	2085	366	215	0.8506731946144431	0.9065217391304348
146	0.5	0.5	2080	356	220	0.8538587848932676	0.9043478260869565
147	0.5	0.5	2146	448	154	0.8272937548188126	0.9330434782608695
