epoch	threshold	tp	fp	fn	precision	recall
56	0.5	4015462	929627	313855	0.8120100568462975	0.9275047311157857
57	0.5	3935276	619380	394041	0.8640116838681121	0.9089831028774285
58	0.5	4105747	1057095	223570	0.7952493994586702	0.9483590598701828
59	0.5	3803861	536399	525456	0.8764131641883205	0.8786284303043644
60	0.5	4110288	1134999	219029	0.7836154627954581	0.9494079551116261
61	0.5	4053818	842849	275499	0.8278729184565746	0.9363643272137383
62	0.5	3727041	444975	602276	0.8933429306119631	0.8608842919102482
63	0.5	3659087	425096	670230	0.8959165150043472	0.8451880516025969
64	0.5	4010674	767695	318643	0.8393395319616379	0.9263987829951006
65	0.5	4257978	3498620	71339	0.5489491656006925	0.9835218811650891
66	0.5	3868408	499514	460909	0.8856403571309195	0.8935377104517872
67	0.5	4204888	1846121	124429	0.6949069155243365	0.971258976877877
68	0.5	4099660	1397090	229657	0.7458334470368855	0.946953064421016
69	0.5	3789271	413606	540046	0.9015897919448987	0.8752583837127196
70	0.5	4047349	813511	281968	0.8326405204017396	0.9348700961375662
71	0.5	4079361	1039641	249956	0.7969055296325338	0.9422643340739428
72	0.5	4110841	1599587	218476	0.7198831681268024	0.9495356888857989
73	0.5	4134261	1079633	195056	0.7929315402269398	0.9549453181645049
74	0.5	3818005	346601	511312	0.9167746000461988	0.8818954583367307
75	0.5	3979339	534492	349978	0.8815879460263355	0.919160920764176
76	0.5	3749139	329065	580178	0.9193112948739199	0.865988561244187
77	0.5	4192820	1209048	136497	0.7761796474849071	0.968471470211121
78	0.5	4054622	832228	274695	0.8297005228316809	0.9365500378004198
79	0.5	4114477	754557	214840	0.8450294247277796	0.9503755442255672
80	0.5	4148091	1074979	181226	0.7941863693191935	0.9581398174354061
81	0.5	4020274	655095	309043	0.8598837867128777	0.9286162228360733
82	0.5	4249315	5585861	80002	0.43205276651887065	0.9815208726919281
83	0.5	4057258	710117	272059	0.8510465402868455	0.9371589098234202
84	0.5	4030021	621367	299296	0.8664125633036849	0.9308676172246108
85	0.5	3952176	564887	377141	0.8749437410990283	0.9128867209308074
86	0.5	3843605	393201	485712	0.9071940041625697	0.887808631245991
87	0.5	3886955	413609	442362	0.903824475115357	0.8978217580278829
88	0.5	3934148	689012	395169	0.8509651407262565	0.9087225536961142
89	0.5	4050378	666051	278939	0.8587806579935795	0.9355697446040565
90	0.5	3994414	585645	334903	0.8721315598772854	0.9226429942644533
91	0.5	3954811	541905	374506	0.8794887202127063	0.913495361970491
92	0.5	3995393	530609	333924	0.8827643027996894	0.9228691269315691
93	0.5	3731230	312675	598087	0.9226799343703672	0.8618518810241893
94	0.5	4210865	1093643	118452	0.7938276273690227	0.9726395641621992
95	0.5	3995199	513568	334118	0.8860956886882821	0.9228243161681161
96	0.5	4074426	612674	254891	0.8692850589917006	0.9411244314056929
97	0.5	4103592	797289	225725	0.8373172088855044	0.9478612908225478
98	0.5	4003838	512048	325479	0.8866118409543554	0.9248197810416747
99	0.5	4040777	611855	288540	0.8684927155210213	0.9333520737797671
100	0.5	3775360	283305	553957	0.930197491046933	0.8720451747931602
101	0.5	3866227	411200	463090	0.9038674418055528	0.8930339358379162
102	0.5	3966067	473605	363250	0.8933243266619696	0.9160953101840313
103	0.5	4094850	795475	234467	0.8373369868055804	0.945842034667362
104	0.5	4038445	614668	290872	0.8679017681281327	0.9328134206850642
105	0.5	3904485	365034	424832	0.9145023127898014	0.9018708955708256
106	0.5	3971276	453601	358041	0.897488449961434	0.9172985022810758
107	0.5	3853216	433511	476101	0.8988713300380453	0.8900286119034481
108	0.5	3826279	339895	503038	0.9184155534550406	0.883806614299669
109	0.5	4054846	633307	274471	0.8649133251410523	0.9366017780633759
110	0.5	4069502	703974	259815	0.8525238212153994	0.9399870695539273
111	0.5	4060257	699380	269060	0.8530602228699373	0.9378516287904074
112	0.5	4031150	594965	298167	0.8713899243749885	0.9311283973892418
113	0.5	4122934	822122	206383	0.8337486976891667	0.952328970135474
114	0.5	4068076	652829	261241	0.8617152855225851	0.9396576873442162
115	0.5	3933845	376262	395472	0.912702399267582	0.9086525657511335
116	0.5	4010544	492061	318773	0.8907163741878312	0.9263687551639208
117	0.5	4095544	648301	233773	0.8633384944069631	0.946002337089199
118	0.5	4099297	644842	230020	0.8640760736563579	0.9468692174770292
119	0.5	4082601	716807	246716	0.8506467881038662	0.9430127200202711
120	0.5	4003258	452258	326059	0.8984948095798556	0.9246858107179493
121	0.5	4103161	739323	226156	0.8473256700486775	0.9477617370130208
122	0.5	4020351	543718	308966	0.8808698992061689	0.9286340085514644
123	0.5	4122071	797375	207246	0.8379136593835973	0.9521296315331033
124	0.5	4000535	511075	328782	0.8867200400743859	0.92405684314639
125	0.5	4138767	742369	190550	0.847910609333565	0.9559861289898615
126	0.5	4025950	489530	303367	0.8915884911460132	0.9299272841420483
127	0.5	3974251	442412	355066	0.8998311621239836	0.9179856776484605
128	0.5	4064181	594783	265136	0.8723357810878126	0.9387580073254049
129	0.5	4192701	1130517	136616	0.7876252672725408	0.9684439831964257
130	0.5	4012384	581404	316933	0.8734369108892269	0.9267937644667739
131	0.5	4201550	943954	127767	0.816547805618264	0.9704879545665055
132	0.5	4035837	538660	293480	0.8822471629121191	0.9322110161949333
133	0.5	3992801	543933	336516	0.8801047185045453	0.9222704181745065
134	0.5	4052466	526860	276851	0.8849481342887577	0.936052037769468
135	0.5	4050560	601387	278757	0.8707235916488301	0.9356117835677082
136	0.5	4064747	536127	264570	0.8834727923433678	0.9388887438826956
137	0.5	4053190	629573	276127	0.8655552288253751	0.936219269690808
138	0.5	4038796	527986	290521	0.8843855476350744	0.9328944958292498
139	0.5	4031557	784299	297760	0.8371423481100764	0.9312224075991663
140	0.5	4030860	482322	298457	0.8931303900440974	0.931061412227379
141	0.5	4077475	595508	251842	0.8725636279866629	0.9418286995385184
142	0.5	4053122	544042	276195	0.8816570389918654	0.9362035628252678
143	0.5	3928972	394453	400345	0.908763769465181	0.9075269840485232
144	0.5	3986640	580620	342677	0.872873451478567	0.920847329959899
145	0.5	3987340	454338	341977	0.8977102797636389	0.9210090182816366
146	0.5	4098490	618849	230827	0.8688139648221169	0.9466828139403975
147	0.5	4092852	601766	236465	0.8718178987086915	0.9453805300004596
148	0.5	4117813	671345	211504	0.8598198263661379	0.9511461045703052
149	0.5	4013277	480624	316040	0.8930497133781986	0.9270000325686477
150	0.5	4060260	550150	269057	0.8806722178721632	0.9378523217403577
151	0.5	3953182	386249	376135	0.91099086493137	0.9131190901474759
152	0.5	4011833	456462	317484	0.8978442560305441	0.9266664926592347
153	0.5	4099455	665962	229862	0.8602510546296368	0.9469057128410786
154	0.5	3998253	430806	331064	0.9027319347066725	0.9235297392175256
155	0.5	4062669	496602	266648	0.8910786395456642	0.9384087605504517
156	0.5	3975157	381496	354160	0.9124336962342422	0.9181949485334523
157	0.5	3972828	388303	356489	0.9109627754818647	0.9176569883886997
158	0.5	4068795	533612	260522	0.8840580591851177	0.9398237643489724
159	0.5	4057538	541372	271779	0.8822825408629437	0.9372235851521152
