epoch	threshold	tp	fp	fn	precision	recall
1	0.5	17061	2088446	4312256	0.008103036465801348	0.003940806367378503
2	0.5	2838197	887285	1491120	0.7618335023494947	0.65557615670093
3	0.5	3864344	3611429	464973	0.5169156420346097	0.8925989942524422
4	0.5	3763967	1425899	565350	0.7252532146302043	0.8694135818652227
5	0.5	3726988	1026211	602329	0.7841009812549401	0.8608720497944595
6	0.5	3492612	557449	836705	0.8623603446960428	0.8067351039436474
7	0.5	3908476	1358468	420841	0.7420766197628075	0.9027927499880466
8	0.5	4102335	2284215	226982	0.6423397609037743	0.9475709447933705
9	0.5	4094578	2248105	234739	0.6455593003780892	0.9457792072052011
10	0.5	3642149	661814	687168	0.8462314847966862	0.8412756561831809
11	0.5	3810363	899995	518954	0.8089327817545927	0.8801302838299898
12	0.5	3960347	1261127	368970	0.7584729905769904	0.9147740856121185
13	0.5	4033988	1445636	295329	0.7361797086807416	0.9317839280422293
14	0.5	4016849	1462633	312468	0.7330709362673333	0.9278251049761429
15	0.5	3928196	1193365	401121	0.7669919385905977	0.9073477409947112
16	0.5	4042272	1580377	287045	0.7189266127051502	0.9336973938383353
17	0.5	3893639	930981	435678	0.8070353727340185	0.8993656505171601
18	0.5	3913161	942805	416156	0.8058460458742915	0.9038749068271046
19	0.5	4109288	1684426	220029	0.7092666293158413	0.9491769717948582
20	0.5	4094009	1767805	235308	0.6984201477563089	0.9456477776979602
21	0.5	4058359	1405602	270958	0.7427503600410033	0.9374132224551818
22	0.5	4029410	1263367	299907	0.7613035652172763	0.9307264864180654
23	0.5	3898789	954074	430528	0.8033997662822956	0.9005552145985152
24	0.5	4130829	1852346	198488	0.6904075177476842	0.9541525834213572
25	0.5	4050831	1227696	278486	0.7674169327920459	0.9356743800465523
26	0.5	3978692	1037015	350625	0.7932464954591646	0.9190114745582271
27	0.5	3903298	921350	426019	0.8090327004166936	0.901596718373822
28	0.5	4043980	1237716	285337	0.765659363961879	0.9340919133433749
29	0.5	4050137	1409555	279180	0.7418251798819421	0.9355140776247154
30	0.5	3844221	727484	485096	0.8408724972411824	0.8879509169691201
31	0.5	4126130	1433352	203187	0.7421788576705528	0.9530671928158645
32	0.5	4014723	1157407	314594	0.7762223687339646	0.9273340344446942
33	0.5	3874841	854605	454476	0.8193012458541656	0.8950236261285556
34	0.5	4027839	1092488	301478	0.7866370643906141	0.930363611627423
35	0.5	3915420	894158	413897	0.814088055126666	0.9043966981396835
36	0.5	4045738	1114625	283579	0.7840025982668274	0.934497982014253
37	0.5	4091099	1235462	238218	0.768056350054003	0.9449756162461654
38	0.5	3995046	938616	334271	0.8097526745853283	0.9227889757206507
39	0.5	3836392	697968	492925	0.8460713309044716	0.8861425485821436
40	0.5	4114057	1362811	215260	0.751169646593637	0.9502785312325247
41	0.5	4038830	1051162	290487	0.7934845477163814	0.9329023492620199
42	0.5	4024866	1016475	304451	0.7983720998043973	0.9296768982266718
43	0.5	3982676	939107	346641	0.8091937413738071	0.9199317120922307
44	0.5	3951251	819223	378066	0.8282722010433344	0.9126730613627969
45	0.5	3961091	850647	368226	0.8232141899662866	0.9149459371997939
46	0.5	3921120	852012	408197	0.8214983369410274	0.905713303045261
47	0.5	4034964	1023202	294353	0.7977128469093343	0.9320093677593948
48	0.5	3892665	654260	436652	0.8561093486257196	0.8991406727666281
49	0.5	4165283	1504318	164034	0.7346695120168069	0.9621108826172812
50	0.5	3999473	868994	329844	0.821505619736151	0.9238115388639825
51	0.5	4170214	2014817	159103	0.6742430231958417	0.9632498613522641
52	0.5	3782959	458315	546358	0.8919393088020251	0.8738004170172801
53	0.5	4077521	1237436	251796	0.7671785491397203	0.9418393247710898
54	0.5	4088326	1297998	240991	0.7590196950647603	0.9443350995087678
55	0.5	4151983	2528722	177334	0.6214887500645516	0.959038804504267
56	0.5	4223240	20082535	106077	0.1737545912442619	0.975497982707203
57	0.5	4172033	1911957	157284	0.6857396215312649	0.9636700200054651
58	0.5	3901864	680787	427453	0.851442538390988	0.9012654882975767
59	0.5	4206802	1736800	122515	0.707786625012913	0.971701078946171
60	0.5	2998116	149643	1331201	0.9524604647306226	0.6925147777351485
61	0.5	3841907	470199	487410	0.890958385531339	0.8874164215741189
62	0.5	4058964	939276	270353	0.8120786516853933	0.9375529673618264
63	0.5	4051736	807246	277581	0.8338652005708191	0.9358834199482274
64	0.5	4155743	1467062	173574	0.739087163791026	0.9599073017753147
65	0.5	4225872	1583735	103445	0.7273937806808619	0.9761059307969363
66	0.5	4017525	690133	311792	0.8534020525705138	0.927981249698278
67	0.5	3959567	597398	369750	0.8689044133540635	0.9145939186250395
68	0.5	3875582	654424	453735	0.8555357321822532	0.8951947847662807
69	0.5	3966105	572894	363212	0.8737840656056545	0.9161040875500686
70	0.5	4071274	1088722	258043	0.7890072007807758	0.9403963719912402
71	0.5	4119910	1685089	209407	0.7097176071864957	0.9516304765855677
72	0.5	4032203	739979	297114	0.8449390656098196	0.9313716228217984
73	0.5	3922310	622014	407007	0.8631228759216992	0.9059881731922148
74	0.5	4195129	1912076	134188	0.6869147179438058	0.9690048106895384
75	0.5	4078353	759649	250964	0.8429829090603931	0.9420315028906407
76	0.5	4159772	963768	169545	0.8118941200810377	0.9608379335585728
77	0.5	4064428	783219	264889	0.8384331614905128	0.9388150602046466
78	0.5	3910977	579227	418340	0.8710020747386978	0.9033704392632833
79	0.5	4175570	2490226	153747	0.6264173101006991	0.9644870079968734
80	0.5	4161627	997255	167690	0.8066916436545748	0.9612664076111774
81	0.5	3995878	565589	333439	0.8760072143457357	0.9229811538402016
82	0.5	4114379	1210145	214938	0.7727224067353251	0.950352907860524
83	0.5	4215172	1606521	114145	0.7240457372108079	0.973634409307519
84	0.5	3930276	483947	399041	0.890366435950336	0.9078281862935885
85	0.5	3950957	496664	378360	0.8883304130455361	0.9126051522676671
86	0.5	4110750	846422	218567	0.8292530499244327	0.949514669403973
87	0.5	3990569	511580	338748	0.88636982027916	0.9217548634114804
88	0.5	3793507	320489	535810	0.9220978824481113	0.8762368290425487
89	0.5	3915794	419565	413523	0.9032225474291748	0.9044830859001547
90	0.5	4162177	975658	167140	0.8101032828029705	0.9613934484353999
91	0.5	4029064	651006	300253	0.8608982344281175	0.9306465661904637
92	0.5	3929967	504973	399350	0.8861375802152904	0.9077568124487073
93	0.5	4225204	21869275	104113	0.16191946196741464	0.9759516339413353
94	0.5	4087918	747451	241399	0.845420070319349	0.9442408583155264
95	0.5	4053636	699752	275681	0.8527887898063444	0.9363222882500866
96	0.5	3913906	448858	415411	0.8971161401350153	0.9040469893980967
97	0.5	3880372	426180	448945	0.9010391607949934	0.8963011948535993
98	0.5	4078298	1252007	251019	0.7651153170409574	0.9420187988082185
99	0.5	4094432	877580	234885	0.823496001216409	0.945745483640953
100	0.5	4214930	8251091	114387	0.3381135006911989	0.9735785113448611
101	0.5	4024640	564260	304677	0.8770380701257382	0.9296246959970822
102	0.5	3996577	617581	332740	0.866155211850136	0.9231426111786224
103	0.5	3944030	449282	385287	0.8977350117633348	0.9110051308324154
104	0.5	4065631	632456	263686	0.8653801004536528	0.9390929331347185
105	0.5	4009443	539585	319874	0.8813845507216047	0.9261144425321592
106	0.5	4074379	645995	254938	0.8631474963636356	0.9411135751898048
107	0.5	3787911	517393	541406	0.8798242818625583	0.8749442464019151
108	0.5	4178841	1156127	150476	0.7832926083155513	0.9652425544260215
109	0.5	3982196	554827	347121	0.8777112216534939	0.9198208401001821
110	0.5	4014946	543361	314371	0.8807976294707662	0.9273855437243335
111	0.5	3965604	442508	363713	0.8996150733012228	0.9159883649083678
112	0.5	4056663	624088	272654	0.8666692588432925	0.9370214747499432
113	0.5	4032076	531337	297241	0.8835658749273844	0.931342287940569
114	0.5	4017279	632183	312038	0.8640309351920716	0.9279244278023531
115	0.5	3872608	375655	456709	0.91157444819212	0.8945078403822128
116	0.5	4093992	670977	235325	0.8591854427594388	0.9456438509815751
117	0.5	4166142	904335	163175	0.8216469574755985	0.9623092972863849
118	0.5	4140507	719659	188810	0.851927074095823	0.9563880399610377
119	0.5	4011337	553422	317980	0.8787620551271162	0.9265519249341178
120	0.5	4074650	680688	254667	0.8568581244908353	0.9411761716686489
121	0.5	3999205	517214	330112	0.8854813957695244	0.9237496353350887
122	0.5	4124354	714836	204963	0.8522818901510377	0.9526569664452845
123	0.5	3954508	5575364	374809	0.4149591935757374	0.9134253740255103
124	0.5	3990438	447257	338879	0.8992141190415295	0.9217246045969838
125	0.5	4025271	512735	304046	0.8870131507098051	0.9297704464699628
126	0.5	4179670	1063852	149647	0.7971111783263234	0.9654340395956221
127	0.5	4043581	539875	285736	0.8822122433377783	0.9339997509999846
128	0.5	4036906	513288	292411	0.8871942602886822	0.9324579373605583
129	0.5	4078724	641126	250593	0.8641639035138828	0.9421171977011616
130	0.5	4141157	750991	188160	0.8464905395339634	0.956538179116937
131	0.5	4055163	587876	274154	0.8733855132382046	0.9366749997747913
