epoch	iou_threshold	score_threshold	tp	fp	fn	precision	recall
1	0.5	0.5	0	34	2300	0.0	0.0
2	0.5	0.5	1066	1017	1234	0.5117618819011042	0.46347826086956523
3	0.5	0.5	1157	3139	1143	0.26932029795158285	0.5030434782608696
4	0.5	0.5	1670	1351	630	0.5527970870572658	0.7260869565217392
5	0.5	0.5	1747	1154	553	0.6022061358152361	0.7595652173913043
6	0.5	0.5	1748	1028	552	0.6296829971181557	0.76
7	0.5	0.5	1853	1556	447	0.5435611616309768	0.8056521739130434
8	0.5	0.5	1806	3248	494	0.3573407202216066	0.7852173913043479
9	0.5	0.5	1792	2988	508	0.37489539748953976	0.7791304347826087
10	0.5	0.5	1796	1043	504	0.6326171187037689	0.7808695652173913
11	0.5	0.5	1898	1128	402	0.627230667547918	0.8252173913043478
12	0.5	0.5	1942	1728	358	0.5291553133514987	0.8443478260869566
13	0.5	0.5	1932	1512	368	0.5609756097560976	0.84
14	0.5	0.5	1904	1457	396	0.5664980660517703	0.8278260869565217
15	0.5	0.5	1928	1485	372	0.5648989159097568	0.8382608695652174
16	0.5	0.5	1930	1850	370	0.5105820105820106	0.8391304347826087
17	0.5	0.5	1973	1175	327	0.6267471410419314	0.8578260869565217
18	0.5	0.5	1951	1042	349	0.6518543267624457	0.8482608695652174
19	0.5	0.5	1936	2276	364	0.45963912630579296	0.8417391304347827
20	0.5	0.5	1869	1876	431	0.49906542056074765	0.8126086956521739
21	0.5	0.5	1954	1479	346	0.5691814739295077	0.8495652173913043
22	0.5	0.5	1972	1326	328	0.5979381443298969	0.8573913043478261
23	0.5	0.5	1915	1050	385	0.6458684654300169	0.8326086956521739
24	0.5	0.5	1880	1957	420	0.4899661193640865	0.8173913043478261
25	0.5	0.5	2004	1352	296	0.5971394517282479	0.871304347826087
26	0.5	0.5	1951	999	349	0.6613559322033898	0.8482608695652174
27	0.5	0.5	1894	954	406	0.6650280898876404	0.8234782608695652
28	0.5	0.5	1956	1175	344	0.624720536569786	0.8504347826086956
29	0.5	0.5	1894	1644	406	0.5353306953080836	0.8234782608695652
30	0.5	0.5	1948	908	352	0.6820728291316527	0.8469565217391304
31	0.5	0.5	1977	1553	323	0.560056657223796	0.8595652173913043
32	0.5	0.5	2016	1255	284	0.6163252827881381	0.8765217391304347
33	0.5	0.5	1854	784	446	0.7028051554207733	0.8060869565217391
34	0.5	0.5	2001	1132	299	0.6386849664857963	0.87
35	0.5	0.5	1936	1105	364	0.6366326866162446	0.8417391304347827
36	0.5	0.5	2001	914	299	0.6864493996569468	0.87
37	0.5	0.5	2008	1144	292	0.6370558375634517	0.8730434782608696
38	0.5	0.5	1974	969	326	0.6707441386340469	0.8582608695652174
39	0.5	0.5	1922	697	378	0.7338678885070637	0.8356521739130435
40	0.5	0.5	1998	1356	302	0.5957066189624329	0.8686956521739131
41	0.5	0.5	2001	1036	299	0.6588738887059599	0.87
42	0.5	0.5	2057	1033	243	0.6656957928802589	0.8943478260869565
43	0.5	0.5	1941	793	359	0.7099487929773226	0.8439130434782609
44	0.5	0.5	1981	914	319	0.6842832469775475	0.861304347826087
45	0.5	0.5	2000	1038	300	0.6583278472679395	0.8695652173913043
46	0.5	0.5	1920	1029	380	0.6510681586978637	0.8347826086956521
47	0.5	0.5	2010	953	290	0.6783665204184948	0.8739130434782608
48	0.5	0.5	2043	864	257	0.7027863777089783	0.8882608695652174
49	0.5	0.5	2000	1397	300	0.588754783632617	0.8695652173913043
50	0.5	0.5	2062	1067	238	0.6589964844998402	0.8965217391304348
51	0.5	0.5	1885	2269	415	0.45377948964853154	0.8195652173913044
52	0.5	0.5	2013	772	287	0.7228007181328546	0.8752173913043478
53	0.5	0.5	1975	1027	325	0.6578947368421053	0.8586956521739131
54	0.5	0.5	1880	927	420	0.6697541859636623	0.8173913043478261
55	0.5	0.5	1990	4214	310	0.3207607994842037	0.8652173913043478
56	0.5	0.5	1507	9210	793	0.1406177101800877	0.6552173913043479
57	0.5	0.5	1976	2365	324	0.4551946556093066	0.8591304347826086
58	0.5	0.5	1952	593	348	0.7669941060903733	0.8486956521739131
59	0.5	0.5	2014	1264	286	0.614399023794997	0.8756521739130435
60	0.5	0.5	1583	1233	717	0.5621448863636364	0.6882608695652174
61	0.5	0.5	2009	517	291	0.7953285827395091	0.8734782608695653
62	0.5	0.5	2121	1015	179	0.6763392857142857	0.9221739130434783
63	0.5	0.5	2069	674	231	0.7542836310608823	0.8995652173913044
64	0.5	0.5	2051	1647	249	0.5546241211465657	0.8917391304347826
65	0.5	0.5	2011	998	289	0.6683283482884679	0.8743478260869565
66	0.5	0.5	2032	488	268	0.8063492063492064	0.8834782608695653
67	0.5	0.5	2062	536	238	0.7936874518860662	0.8965217391304348
68	0.5	0.5	1930	596	370	0.7640538400633412	0.8391304347826087
69	0.5	0.5	2148	724	152	0.7479108635097493	0.9339130434782609
70	0.5	0.5	2055	1067	245	0.6582319026265214	0.8934782608695652
71	0.5	0.5	2064	2193	236	0.48484848484848486	0.8973913043478261
72	0.5	0.5	2109	828	191	0.7180796731358529	0.9169565217391304
73	0.5	0.5	1889	471	411	0.8004237288135593	0.821304347826087
74	0.5	0.5	1922	1923	378	0.4998699609882965	0.8356521739130435
75	0.5	0.5	2076	619	224	0.7703153988868274	0.9026086956521739
76	0.5	0.5	2107	760	193	0.7349145448203698	0.9160869565217391
77	0.5	0.5	2050	630	250	0.7649253731343284	0.8913043478260869
78	0.5	0.5	2097	771	203	0.7311715481171548	0.9117391304347826
79	0.5	0.5	2030	3297	270	0.38107752956636004	0.8826086956521739
80	0.5	0.5	2113	617	187	0.773992673992674	0.918695652173913
81	0.5	0.5	2110	523	190	0.8013672616786935	0.9173913043478261
82	0.5	0.5	2101	1367	199	0.6058246828143022	0.9134782608695652
83	0.5	0.5	1955	1270	345	0.6062015503875969	0.85
84	0.5	0.5	2000	464	300	0.8116883116883117	0.8695652173913043
85	0.5	0.5	2061	482	239	0.8104600865119937	0.8960869565217391
86	0.5	0.5	2079	515	221	0.8014649190439476	0.9039130434782608
87	0.5	0.5	2077	407	223	0.8361513687600645	0.9030434782608696
88	0.5	0.5	1973	407	327	0.8289915966386555	0.8578260869565217
89	0.5	0.5	2002	376	298	0.8418839360807401	0.8704347826086957
90	0.5	0.5	2058	534	242	0.7939814814814815	0.8947826086956522
91	0.5	0.5	2017	395	283	0.8362354892205639	0.8769565217391304
92	0.5	0.5	2006	384	294	0.8393305439330544	0.8721739130434782
93	0.5	0.5	1553	7892	747	0.16442562202223399	0.6752173913043479
94	0.5	0.5	2043	419	257	0.829813160032494	0.8882608695652174
95	0.5	0.5	2022	499	278	0.8020626735422451	0.8791304347826087
96	0.5	0.5	1970	386	330	0.8361629881154499	0.8565217391304348
97	0.5	0.5	1931	366	369	0.8406617326948194	0.8395652173913043
98	0.5	0.5	2054	1314	246	0.6098574821852731	0.8930434782608696
99	0.5	0.5	2031	666	269	0.7530589543937709	0.8830434782608696
100	0.5	0.5	1921	4092	379	0.3194744719773823	0.8352173913043478
101	0.5	0.5	2071	418	229	0.8320610687022901	0.9004347826086957
102	0.5	0.5	2089	494	211	0.8087495160665893	0.9082608695652173
103	0.5	0.5	2059	422	241	0.8299072954453849	0.8952173913043479
104	0.5	0.5	2098	396	202	0.8412189254210104	0.9121739130434783
105	0.5	0.5	2023	400	277	0.8349153941394964	0.8795652173913043
106	0.5	0.5	2061	475	239	0.8126971608832808	0.8960869565217391
107	0.5	0.5	1846	368	454	0.8337850045167118	0.802608695652174
108	0.5	0.5	2120	840	180	0.7162162162162162	0.9217391304347826
109	0.5	0.5	2016	423	284	0.8265682656826568	0.8765217391304347
110	0.5	0.5	2042	356	258	0.8515429524603837	0.8878260869565218
111	0.5	0.5	2065	362	235	0.8508446641944788	0.8978260869565218
112	0.5	0.5	2061	408	239	0.8347509113001215	0.8960869565217391
113	0.5	0.5	2134	454	166	0.8245749613601236	0.9278260869565217
114	0.5	0.5	2085	417	215	0.8333333333333334	0.9065217391304348
115	0.5	0.5	1993	320	307	0.8616515348032858	0.8665217391304347
116	0.5	0.5	2112	463	188	0.8201941747572815	0.9182608695652174
117	0.5	0.5	2144	741	156	0.7431542461005199	0.9321739130434783
118	0.5	0.5	2130	449	170	0.8259015122140364	0.9260869565217391
119	0.5	0.5	2058	393	242	0.8396572827417381	0.8947826086956522
120	0.5	0.5	2052	402	248	0.8361858190709046	0.8921739130434783
121	0.5	0.5	2089	408	211	0.8366039247096516	0.9082608695652173
